feature,coefficient,absolute_coefficient
V4,1.7289003584964462,1.7289003584964462
V12,-1.3459724769831647,1.3459724769831647
V14,-1.2529470342303477,1.2529470342303477
V10,-1.2068094077383564,1.2068094077383564
V1,0.9788174251020825,0.9788174251020825
V11,0.9697084483260926,0.9697084483260926
V17,-0.7536300316100351,0.7536300316100351
V22,0.6047631362927413,0.6047631362927413
V16,-0.5873919072711066,0.5873919072711066
V9,-0.5661414693373695,0.5661414693373695
time_of_day_sin,-0.4908016408630389,0.4908016408630389
amount_log1p,0.4708828188382536,0.4708828188382536
V15,-0.4601987200980254,0.4601987200980254
V2,-0.4314843884367448,0.4314843884367448
V24,0.41159940456175076,0.41159940456175076
V8,-0.3362342455036787,0.3362342455036787
V25,-0.3119010221585991,0.3119010221585991
V13,-0.308403030301061,0.308403030301061
V5,0.3008311051999203,0.3008311051999203
V6,-0.29154795850210113,0.29154795850210113
V18,-0.2878631361724862,0.2878631361724862
V7,0.2077894865438452,0.2077894865438452
V19,0.18197793016846672,0.18197793016846672
time_of_day_cos,0.17438613867559843,0.17438613867559843
V26,-0.16781562096074676,0.16781562096074676
V21,0.1379242380938672,0.1379242380938672
V20,-0.10465383597052232,0.10465383597052232
V28,0.06491161572847211,0.06491161572847211
V3,0.053609983987614025,0.053609983987614025
V27,-0.029657149939651087,0.029657149939651087
V23,0.010767769479444002,0.010767769479444002
