feature,importance
V11,0.057507455
V24,0.05268529
V3,0.052378386
V17,0.049659062
V12,0.04461591
V15,0.043811742
V6,0.03786343
V13,0.03781649
V16,0.037560973
V26,0.036103986
V8,0.034317072
V14,0.033149764
time_of_day_sin,0.03036156
V4,0.03001136
V10,0.029797243
V25,0.02930066
V22,0.028739829
V18,0.028472975
V1,0.0266459
V2,0.0262316
amount_log1p,0.026116753
V5,0.025967514
V7,0.025270296
time_of_day_cos,0.024891045
V9,0.024848616
V27,0.023626713
V20,0.02338255
V21,0.020298205
V28,0.02021469
V19,0.01933203
V23,0.019020887
