rank_test_score,mean_test_score,std_test_score,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_weight,param_gamma,param_reg_alpha,param_reg_lambda
1,0.8600607952272381,0.008737726789388929,400,5,0.1,0.7,0.7,1,0.3,1.0,10
2,0.8594191847406579,0.00823078121601424,500,7,0.08,1.0,0.8,1,0.3,0.1,5
3,0.8588844450853351,0.007883518312387327,600,5,0.08,1.0,0.7,5,0.3,1.0,5
4,0.8578143311466087,0.0053924735989463604,400,8,0.1,0.8,0.9,5,0.3,0.01,2
5,0.857615022590999,0.010710929628141507,400,5,0.08,0.7,0.7,5,0.1,1.0,2
6,0.8570471406201218,0.008072645656503279,600,8,0.1,1.0,0.8,3,0.0,0.1,2
7,0.8568930658015134,0.007054583041756464,600,7,0.08,0.9,0.8,3,0.3,0.1,5
8,0.8567965950030896,0.007962476968779334,300,8,0.05,0.7,0.8,3,0.1,0.1,1
9,0.8548701181356155,0.011170609101673615,400,8,0.05,0.9,1.0,3,0.1,0.01,2
10,0.8532771692109739,0.008787469352716364,300,8,0.05,0.8,0.9,3,0.0,0.01,2
11,0.8528185655016394,0.005676491086281312,400,7,0.05,1.0,0.8,10,0.0,0.1,1
12,0.8526978902999377,0.00780798760300476,600,8,0.03,1.0,0.9,3,0.0,0.01,2
13,0.8524541531507381,0.00533187951377753,600,7,0.02,0.7,0.8,1,0.3,0.01,2
14,0.848329780575867,0.011916230958880862,400,3,0.1,1.0,0.8,3,0.0,0.0,5
15,0.8482409975755466,0.005998414465683447,300,6,0.05,0.9,0.9,10,0.1,0.0,10
16,0.8479806421753935,0.005818063026668463,400,5,0.03,0.9,0.7,3,0.3,0.0,5
17,0.8443080949002072,0.009522452408587312,200,8,0.05,0.8,0.7,3,0.5,1.0,5
18,0.8440564882258221,0.010877452616391593,300,4,0.05,0.7,0.7,1,0.5,0.01,10
19,0.8408316890782649,0.007312814906257351,200,6,0.05,0.8,0.9,5,0.0,0.01,10
20,0.8333463326027384,0.013577608227819416,400,5,0.02,0.9,0.7,1,0.1,0.0,1
21,0.8263577306624746,0.022226128678138304,400,3,0.05,0.9,0.7,10,0.1,0.1,2
22,0.8203175896744149,0.02543878204196574,500,4,0.02,0.8,0.9,3,0.1,1.0,5
23,0.81552066913103,0.01948401663060282,300,4,0.03,1.0,0.8,3,0.5,0.01,2
24,0.8065759732533847,0.026495251409130813,200,8,0.02,0.8,0.8,5,0.1,0.0,1
25,0.7554124140943118,0.04851469963360981,200,8,0.02,0.9,0.7,3,0.5,0.1,2
