threshold,precision,recall,f1,accuracy,TN,FP,FN,TP,FPR,FNR
0.01,0.1008130081300813,0.8732394366197183,0.18075801749271136,0.9867948025094575,41935,553,9,62,0.013015439653549237,0.1267605633802817
0.02,0.17079889807162535,0.8732394366197183,0.2857142857142857,0.9927159942667826,42187,301,9,62,0.007084353229147054,0.1267605633802817
0.03,0.23308270676691728,0.8732394366197183,0.36795252225519287,0.994995183157499,42284,204,9,62,0.0048013556768970065,0.1267605633802817
0.04,0.2980769230769231,0.8732394366197183,0.4444444444444444,0.9963579971333912,42342,146,9,62,0.0034362643569949163,0.1267605633802817
0.05,0.34831460674157305,0.8732394366197183,0.4979919678714859,0.9970629009140253,42372,116,9,62,0.00273018263980418,0.1267605633802817
0.06,0.41333333333333333,0.8732394366197183,0.5610859728506787,0.9977208111092836,42400,88,9,62,0.002071173037092826,0.1267605633802817
0.07,0.45925925925925926,0.8732394366197183,0.6019417475728155,0.9980732629996005,42415,73,9,62,0.0017181321784974582,0.1267605633802817
0.08,0.48412698412698413,0.8591549295774648,0.6192893401015228,0.9982377405484152,42423,65,10,61,0.0015298437205799285,0.14084507042253522
0.09,0.5169491525423728,0.8591549295774648,0.6455026455026455,0.9984257148899175,42431,57,10,61,0.0013415552626623987,0.14084507042253522
0.1,0.5213675213675214,0.8591549295774648,0.648936170212766,0.9984492116826054,42432,56,10,61,0.0013180192054227076,0.14084507042253522
0.11,0.5350877192982456,0.8591549295774648,0.6594594594594595,0.9985197020606688,42435,53,10,61,0.001247411033703634,0.14084507042253522
0.12,0.5648148148148148,0.8591549295774648,0.6815642458100558,0.9986606828167955,42441,47,10,61,0.0011061946902654867,0.14084507042253522
0.13,0.5922330097087378,0.8591549295774648,0.7011494252873564,0.9987781667802345,42446,42,10,61,0.0009885144040670307,0.14084507042253522
0.14,0.6122448979591837,0.8450704225352113,0.7100591715976331,0.9988486571582978,42450,38,11,60,0.0008943701751082659,0.15492957746478872
